─── Behaviour-Cloning Warm Start ───
Expert      : stir(60.0, 80.0) light(900.0, 1000.0), harvest = clip(1.0*(od/0.015 - 1), 0, 0.3)
Demo mix    : {0: 0.4, 1: 0.4, 2: 0.2}
Episodes    : 24 | BC epochs: 10

  Calibrating VecNormalize with 2000 random steps...
[EnvDebug] Step: 500, Active: 183, Mass: 21.65, OD: 0.0036, Turb: 3.6437, pH: 8.95, Shock: 0.96, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.101, Done: False
[EnvDebug] Step: 1000, Active: 226, Mass: 16.87, OD: 0.0028, Turb: 2.7568, pH: 8.94, Shock: 0.20, Clump: 1.00, MeanX: 0.00, RGB: 0.97, Rew: 0.068, Done: False
[EnvDebug] Step: 1500, Active: 158, Mass: 12.66, OD: 0.0021, Turb: 2.1128, pH: 8.94, Shock: 0.21, Clump: 1.00, MeanX: 0.00, RGB: 0.97, Rew: 0.053, Done: False
[EnvDebug] Step: 2000, Active: 115, Mass: 9.87, OD: 0.0016, Turb: 1.5452, pH: 8.94, Shock: 0.82, Clump: 1.00, MeanX: 0.00, RGB: 0.97, Rew: 0.058, Done: False
  Calibration complete. Obs mean: [2.670000e+00 8.910000e+00 5.910000e+00 1.110763e+04 3.465000e+01
 5.064902e+04]

  Collecting expert demonstrations...
[EnvDebug] Step: 500, Active: 640, Mass: 47.08, OD: 0.0078, Turb: 7.6685, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.149, Done: False
[EnvDebug] Step: 1000, Active: 638, Mass: 57.33, OD: 0.0096, Turb: 9.4154, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.158, Done: False
[EnvDebug] Step: 1500, Active: 637, Mass: 70.05, OD: 0.0117, Turb: 11.5303, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.161, Done: False
[EnvDebug] Step: 2000, Active: 634, Mass: 85.12, OD: 0.0142, Turb: 14.0884, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.160, Done: False
[EnvDebug] Step: 2500, Active: 1236, Mass: 100.79, OD: 0.0168, Turb: 16.6079, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.152, Done: False
[EnvDebug] Step: 3000, Active: 1230, Mass: 121.68, OD: 0.0203, Turb: 19.9703, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.138, Done: False
[EnvDebug] Step: 3500, Active: 967, Mass: 115.38, OD: 0.0192, Turb: 18.8286, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.143, Done: False
[EnvDebug] Step: 4000, Active: 1613, Mass: 115.93, OD: 0.0193, Turb: 19.2651, pH: 8.95, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.142, Done: False
[EnvDebug] Step: 4500, Active: 1269, Mass: 109.63, OD: 0.0183, Turb: 17.7064, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.146, Done: False
[EnvDebug] Step: 5000, Active: 984, Mass: 103.34, OD: 0.0172, Turb: 17.3372, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.151, Done: False
[EnvDebug] Step: 5500, Active: 785, Mass: 100.22, OD: 0.0167, Turb: 16.7193, pH: 8.87, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.153, Done: False
[EnvDebug] Step: 6000, Active: 1562, Mass: 121.22, OD: 0.0202, Turb: 19.7627, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.138, Done: False
[EnvDebug] Step: 6500, Active: 1210, Mass: 113.82, OD: 0.0190, Turb: 18.6334, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.144, Done: False
[EnvDebug] Step: 7000, Active: 987, Mass: 112.33, OD: 0.0187, Turb: 18.7125, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 7200, Active: 988, Mass: 121.28, OD: 0.0202, Turb: 20.1354, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.98, Rew: 0.139, Done: True
  demo ep   1/24  D1  stir=  65.4 light=  904.1 mean_frac=0.136  steps=7200  harvested=  173.1mg  time_avg_od=0.0181
[EnvDebug] Step: 500, Active: 524, Mass: 37.54, OD: 0.0063, Turb: 6.3088, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.136, Done: False
