Loading model model_data/bc_warmstart/recurrent_ppo_genetic_ibm ...
[EnvDebug] Step: 500, Active: 232, Mass: 16.84, OD: 0.0028, Turb: 2.7230, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.086, Done: False
[EnvDebug] Step: 1000, Active: 232, Mass: 20.33, OD: 0.0034, Turb: 3.3722, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.098, Done: False
[EnvDebug] Step: 1500, Active: 230, Mass: 24.58, OD: 0.0041, Turb: 4.1836, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.110, Done: False
[EnvDebug] Step: 2000, Active: 230, Mass: 30.09, OD: 0.0050, Turb: 5.0099, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.124, Done: False
[EnvDebug] Step: 2500, Active: 458, Mass: 36.53, OD: 0.0061, Turb: 6.0117, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.136, Done: False
[EnvDebug] Step: 3000, Active: 456, Mass: 44.56, OD: 0.0074, Turb: 7.3503, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 3500, Active: 455, Mass: 54.45, OD: 0.0091, Turb: 8.9331, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.156, Done: False
[EnvDebug] Step: 4000, Active: 907, Mass: 66.15, OD: 0.0110, Turb: 10.9806, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 4500, Active: 904, Mass: 80.30, OD: 0.0134, Turb: 13.2372, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 5000, Active: 903, Mass: 97.52, OD: 0.0163, Turb: 15.9638, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.154, Done: False
[EnvDebug] Step: 5500, Active: 862, Mass: 112.27, OD: 0.0187, Turb: 18.4936, pH: 8.92, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.145, Done: False
[EnvDebug] Step: 6000, Active: 1706, Mass: 134.02, OD: 0.0223, Turb: 22.0622, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.129, Done: False
[EnvDebug] Step: 6500, Active: 1335, Mass: 126.73, OD: 0.0211, Turb: 21.0461, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.135, Done: False
[EnvDebug] Step: 7000, Active: 1092, Mass: 125.51, OD: 0.0209, Turb: 20.2933, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.98, Rew: 0.136, Done: False
[EnvDebug] Step: 7200, Active: 1091, Mass: 135.68, OD: 0.0226, Turb: 22.4679, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.98, Rew: 0.128, Done: True
  [  1/40] seed= 1000     init=  117  steps= 7200  crashed=False  harvested=   56.4mg  time_avg_od=0.0168
[EnvDebug] Step: 500, Active: 386, Mass: 28.14, OD: 0.0047, Turb: 4.6380, pH: 8.94, Shock: 0.99, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.118, Done: False
[EnvDebug] Step: 1000, Active: 384, Mass: 33.72, OD: 0.0056, Turb: 5.7240, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.130, Done: False
[EnvDebug] Step: 1500, Active: 383, Mass: 40.57, OD: 0.0068, Turb: 6.8210, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.142, Done: False
[EnvDebug] Step: 2000, Active: 382, Mass: 48.77, OD: 0.0081, Turb: 8.1818, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.152, Done: False
[EnvDebug] Step: 2500, Active: 757, Mass: 57.93, OD: 0.0097, Turb: 9.7114, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.157, Done: False
[EnvDebug] Step: 3000, Active: 755, Mass: 69.43, OD: 0.0116, Turb: 11.5872, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.161, Done: False
[EnvDebug] Step: 3500, Active: 754, Mass: 83.15, OD: 0.0139, Turb: 13.6844, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.159, Done: False
[EnvDebug] Step: 4000, Active: 752, Mass: 99.25, OD: 0.0165, Turb: 16.3729, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.153, Done: False
[EnvDebug] Step: 4500, Active: 1405, Mass: 109.69, OD: 0.0183, Turb: 18.3015, pH: 8.95, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.146, Done: False
[EnvDebug] Step: 5000, Active: 1123, Mass: 104.12, OD: 0.0174, Turb: 17.4990, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.150, Done: False
[EnvDebug] Step: 5500, Active: 908, Mass: 100.63, OD: 0.0168, Turb: 16.7318, pH: 8.85, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.152, Done: False
